type=alexnet, quant_method=linear, param_bits=8, bn_bits=32,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=resnet50, quant_method=linear, param_bits=31, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.0010, acc5=0.0050
type=resnet50, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.7613, acc5=0.9286
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7087, acc5=0.9015
type=vgg16, quant_method=linear, param_bits=32, bn_bits=32,           fwd_bits=32, overflow_rate=0.0, acc1=0.7159, acc5=0.9038
type=vgg16, quant_method=linear, param_bits=4, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0010, acc5=0.0050
type=vgg16, quant_method=linear, param_bits=7, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.6874, acc5=0.8876
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.2000, acc5=0.4000
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.7000
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.9000, acc5=1.0000
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.9000, acc5=1.0000
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.9000, acc5=1.0000
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7045, acc5=0.8990
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7054, acc5=0.8985
type=resnet18, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.6702, acc5=0.8741
type=resnet18, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.6596, acc5=0.8670
type=resnet18, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.6596, acc5=0.8670
type=resnet18, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.6596, acc5=0.8670
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0010, acc5=0.0049
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0008, acc5=0.0048
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5411, acc5=0.7758
type=alexnet, quant_method=linear, param_bits=32, bn_bits=32,           fwd_bits=32, overflow_rate=0.0, acc1=0.5615, acc5=0.7900
type=vgg16, quant_method=linear, param_bits=32, bn_bits=32,           fwd_bits=32, overflow_rate=0.0, acc1=0.7126, acc5=0.9013
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7045, acc5=0.8990
type=resnet18, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.6596, acc5=0.8670
type=vgg16, quant_method=linear, param_bits=32, bn_bits=32,           fwd_bits=32, overflow_rate=0.0, acc1=0.7126, acc5=0.9013
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7000, acc5=0.8000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=vgg16, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=resnet18, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=resnet18, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5411, acc5=0.7758
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.5418, acc5=0.7751
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=1.0000, acc5=1.0000
type=alexnet, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=1.0000
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0008, acc5=0.0048
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0000, acc5=0.0000
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.0009, acc5=0.0049
type=resnet34, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.0009, acc5=0.0049
type=resnet34, quant_method=linear, param_bits=16, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.0008, acc5=0.0046
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.7295, acc5=0.9114
type=resnet34, quant_method=linear, param_bits=31, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.0008, acc5=0.0046
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=31, overflow_rate=0.0, acc1=0.7295, acc5=0.9114
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.7294, acc5=0.9114
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.7139, acc5=0.9028
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=32, overflow_rate=0.0, acc1=0.7295, acc5=0.9114
type=resnet34, quant_method=linear, param_bits=16, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.0008, acc5=0.0046
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=7, overflow_rate=0.0, acc1=0.6519, acc5=0.8620
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=9, overflow_rate=0.0, acc1=0.7273, acc5=0.9108
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=10, overflow_rate=0.0, acc1=0.7287, acc5=0.9116
type=resnet34, quant_method=linear, param_bits=32, bn_bits=8,           fwd_bits=16, overflow_rate=0.0, acc1=0.7294, acc5=0.9114
type=vgg16_bn, quant_method=linear, param_bits=8, bn_bits=8,           fwd_bits=8, overflow_rate=0.0, acc1=0.0009, acc5=0.0050
